ID,average_screen_time,predicted_well_being
1000082,1.875,48.06869691923124
1000083,1.75,48.19704767641061
1000086,1.625,48.32539843358998
1000087,2.25,47.68364464769313
1000089,3.25,46.656838590258154
1000090,0.375,49.608906005383695
1000091,2.0625,47.876170783462186
1000092,1.625,48.32539843358998
1000093,1.75,48.19704767641061
1000094,2.1875,47.74782002628281
1000095,2.1875,47.74782002628281
1000096,1.375,48.58209994794873
1000098,1.875,48.06869691923124
1000099,1.625,48.32539843358998
1000100,1.875,48.06869691923124
1000101,1.8125,48.132872297820924
1000102,1.8125,48.132872297820924
1000103,2.5,47.42694313333438
1000104,2.0625,47.876170783462186
1000105,1.5,48.45374919076936
1000106,3.0,46.9135401046169
1000107,0.9375,49.03132759807652
1000110,1.25,48.710450705128096
1000111,0.9375,49.03132759807652
1000112,4.25,45.630032532823186
1000113,1.0,48.96715221948684
1000114,2.375,47.55529389051375
1000115,2.625,47.298592376155014
1000117,1.1875,48.774626083717784
1000118,3.625,46.271786318720046
1000119,1.5625,48.38957381217967
1000121,0.625,49.352204491024956
1000123,2.75,47.170241618975645
1000124,3.5,46.400137075899416
1000125,1.875,48.06869691923124
1000126,2.25,47.68364464769313
1000127,1.125,48.838801462307465
1000129,1.0625,48.90297684089715
1000130,2.0625,47.876170783462186
1000131,1.4375,48.51792456935904
1000133,1.8125,48.132872297820924
1000134,1.375,48.58209994794873
1000135,1.125,48.838801462307465
1000136,3.75,46.14343556154067
1000137,2.25,47.68364464769313
1000138,1.3125,48.64627532653841
1000139,0.875,49.09550297666621
1000142,0.8125,49.1596783552559
1000144,1.25,48.710450705128096
1000145,3.0625,46.84936472602721
1000146,1.3125,48.64627532653841
1000147,3.25,46.656838590258154
1000148,2.1875,47.74782002628281
1000149,2.0625,47.876170783462186
1000150,0.8125,49.1596783552559
1000151,2.0,47.94034616205187
1000152,3.0,46.9135401046169
1000153,2.0,47.94034616205187
1000154,1.75,48.19704767641061
1000155,2.875,47.04189086179627
1000156,1.6875,48.2612230550003
1000157,2.0,47.94034616205187
1000158,1.25,48.710450705128096
1000160,2.0,47.94034616205187
1000161,2.3125,47.61946926910344
1000162,1.25,48.710450705128096
1000163,0.6875,49.28802911243527
1000164,2.875,47.04189086179627
1000165,1.75,48.19704767641061
1000168,2.125,47.8119954048725
1000171,1.0625,48.90297684089715
1000172,1.4375,48.51792456935904
1000173,1.375,48.58209994794873
1000174,0.75,49.22385373384558
1000175,1.0,48.96715221948684
1000176,1.0625,48.90297684089715
1000177,1.5625,48.38957381217967
1000178,0.875,49.09550297666621
1000179,1.75,48.19704767641061
1000181,1.875,48.06869691923124
1000182,4.75,45.1166295041057
1000183,1.5,48.45374919076936
1000184,1.625,48.32539843358998
1000185,2.125,47.8119954048725
